nsec;usec;msec;sec;Hz
6796955;6796.955;6.796955;0.006796955;147.1247051069
24372445;24372.445;24.372445;0.024372445;41.0299418052
9073150;9073.15;9.07315;0.00907315;110.2153055995
18336273;18336.273;18.336273;0.018336273;54.5367098319
10928760;10928.76;10.92876;0.01092876;91.5016891212
6696182;6696.182;6.696182;0.006696182;149.3388321883
11059994;11059.994;11.059994;0.011059994;90.415962251
8144539;8144.539;8.144539;0.008144539;122.7816577464
9328070;9328.07;9.32807;0.00932807;107.2033121535
16750733;16750.733;16.750733;0.016750733;59.698880043
8710393;8710.393;8.710393;0.008710393;114.8053824896
8871515;8871.515;8.871515;0.008871515;112.7203189083
10707999;10707.999;10.707999;0.010707999;93.3881297523
17799331;17799.331;17.799331;0.017799331;56.1818868361
6796818;6796.818;6.796818;0.006796818;147.1276706247
19814670;19814.67;19.81467;0.01981467;50.467658558
6700154;6700.154;6.700154;0.006700154;149.250300814
20803063;20803.063;20.803063;0.020803063;48.0698443301
7506469;7506.469;7.506469;0.007506469;133.2184279986
21299073;21299.073;21.299073;0.021299073;46.9504001418
7063615;7063.615;7.063615;0.007063615;141.5705697437
19026579;19026.579;19.026579;0.019026579;52.5580557598
7202730;7202.73;7.20273;0.00720273;138.836246812
20477674;20477.674;20.477674;0.020477674;48.8336712461
6118660;6118.66;6.11866;0.00611866;163.4344774836
5656588;5656.588;5.656588;0.005656588;176.7850159849
7453887;7453.887;7.453887;0.007453887;134.1581915583
6408634;6408.634;6.408634;0.006408634;156.0394929715
9208291;9208.291;9.208291;0.009208291;108.5977843228
7155305;7155.305;7.155305;0.007155305;139.7564464408
9249719;9249.719;9.249719;0.009249719;108.1113923569
7569115;7569.115;7.569115;0.007569115;132.1158418124
7489709;7489.709;7.489709;0.007489709;133.5165358227
7646646;7646.646;7.646646;0.007646646;130.776290677
9245241;9245.241;9.245241;0.009245241;108.1637568994
15606799;15606.799;15.606799;0.015606799;64.0746382394
12850797;12850.797;12.850797;0.012850797;77.8161852529
9319554;9319.554;9.319554;0.009319554;107.3012721424
12278938;12278.938;12.278938;0.012278938;81.4402678798
8816417;8816.417;8.816417;0.008816417;113.4247620093
7654604;7654.604;7.654604;0.007654604;130.6403309694
9030687;9030.687;9.030687;0.009030687;110.7335466283
7422868;7422.868;7.422868;0.007422868;134.7188175783
10517468;10517.468;10.517468;0.010517468;95.0799184747
6484905;6484.905;6.484905;0.006484905;154.2042635937
10682148;10682.148;10.682148;0.010682148;93.6141307909
7540413;7540.413;7.540413;0.007540413;132.6187305656
9704583;9704.583;9.704583;0.009704583;103.0440978247
7059414;7059.414;7.059414;0.007059414;141.6548172412
9180219;9180.219;9.180219;0.009180219;108.92986322
5570892;5570.892;5.570892;0.005570892;179.5044671482
10991691;10991.691;10.991691;0.010991691;90.9778122402
6457664;6457.664;6.457664;0.006457664;154.8547586248
21598693;21598.693;21.598693;0.021598693;46.2990978204
7433628;7433.628;7.433628;0.007433628;134.5238152891
6960944;6960.944;6.960944;0.006960944;143.6586761796
8306850;8306.85;8.30685;0.00830685;120.382575826
6805266;6805.266;6.805266;0.006805266;146.9450275713
10704853;10704.853;10.704853;0.010704853;93.4155751602
6035537;6035.537;6.035537;0.006035537;165.685340012
18991451;18991.451;18.991451;0.018991451;52.655271048
8680294;8680.294;8.680294;0.008680294;115.2034712188
7996758;7996.758;7.996758;0.007996758;125.0506767868
;;;;
10446878;10446.878;10.446878;0.010446878;95.7223775371
